Survived,Pclass,Sex,Age,Fare,Embarked,Loc,GroupSize
0,3,m,20.0,9.225,S,X,1
0,3,m,14.0,46.9,S,X,8
0,2,m,60.0,39.0,S,X,3
0,2,m,25.0,41.5792,C,X,4
0,3,m,14.0,39.6875,S,X,6
0,3,m,19.0,10.1708,S,X,1
0,3,m,18.0,7.7958,S,X,1
1,1,f,15.0,211.3375,S,B,2
1,1,m,31.0,57.0,S,B,2
1,3,f,4.0,13.4167,C,X,2
1,3,m,25.0,56.4958,S,X,1
0,3,m,25.0,7.225,C,X,1
0,1,m,60.0,26.55,S,X,1
0,2,m,52.0,13.5,S,X,1
0,3,m,44.0,8.05,S,X,1
1,3,f,21.5,7.7333,Q,X,1
0,1,m,49.0,110.8833,C,C,3
0,3,m,42.0,7.65,S,F,1
1,1,f,18.0,227.525,C,C,2
1,1,m,35.0,26.2875,S,E,1
0,3,f,18.0,14.4542,C,X,2
0,3,m,25.0,7.7417,Q,X,1
0,3,m,26.0,7.8542,S,X,2
0,2,m,39.0,26.0,S,X,1
1,2,f,45.0,13.5,S,X,1
1,1,m,42.0,26.2875,S,E,1
1,1,f,22.0,151.55,S,X,1
1,3,m,25.0,15.2458,C,X,3
1,1,f,24.0,49.5042,C,C,1
0,1,m,40.0,26.55,S,C,1
1,1,m,48.0,52.0,S,C,2
0,3,m,29.0,9.4833,S,X,1
0,2,m,52.0,13.0,S,X,1
0,3,m,19.0,7.65,S,F,1
1,1,f,38.0,227.525,C,C,1
1,2,f,27.0,10.5,S,E,1
0,3,m,25.0,15.5,Q,X,1
0,3,m,33.0,7.775,S,X,1
1,2,f,6.0,33.0,S,X,2
0,3,m,17.0,7.0542,S,X,2
0,2,m,34.0,13.0,S,X,1
0,2,m,50.0,13.0,S,X,1
1,1,m,27.0,53.1,S,E,2
0,3,m,20.0,8.6625,S,X,1
1,2,f,30.0,21.0,S,X,4
1,3,f,21.5,7.7375,Q,X,1
0,2,m,25.0,26.0,S,X,2
0,3,f,25.0,7.925,S,X,2
1,1,f,29.0,211.3375,S,B,1
0,3,m,11.0,18.7875,C,X,1
0,2,m,30.0,0.0,S,X,1
0,2,m,23.0,13.0,S,X,1
0,2,m,23.0,13.0,S,X,1
0,3,m,28.5,16.1,S,X,1
0,3,f,48.0,34.375,S,X,5
1,1,m,35.0,512.3292,C,B,1
0,3,m,25.0,7.8958,S,X,1
0,3,m,25.0,7.8958,S,X,1
1,1,m,40.0,30.0,S,D,1
0,1,m,36.0,78.85,S,C,2
1,1,f,21.0,262.375,C,B,5
0,3,m,24.0,16.1,S,X,2
1,3,m,31.0,7.925,S,X,1
0,1,m,70.0,71.0,S,B,3
0,3,m,16.0,20.25,S,X,3
1,2,f,30.0,13.0,S,X,1
0,1,m,19.0,53.1,S,D,2
0,3,m,31.0,7.75,Q,X,1
1,2,f,4.0,23.0,S,X,3
1,3,m,6.0,12.475,S,E,2
0,3,m,33.0,9.5,S,X,1
0,3,m,23.0,7.8958,S,X,1
1,2,f,48.0,65.0,S,X,4
1,2,m,0.67,14.5,S,X,3
0,3,m,28.0,7.7958,S,X,1
0,2,m,18.0,11.5,S,X,1
0,3,m,34.0,8.05,S,X,1
1,1,f,33.0,86.5,S,B,1
0,3,m,25.0,14.5,S,X,1
0,3,m,41.0,7.125,S,X,1
1,3,m,20.0,7.2292,C,X,1
1,1,f,36.0,120.0,S,B,4
0,3,m,16.0,7.775,S,X,1
1,1,f,51.0,77.9583,S,D,2
0,1,m,40.0,39.6,C,X,1
0,3,f,30.5,7.75,Q,X,1
0,3,m,25.0,24.15,Q,X,2
0,3,m,32.0,8.3625,S,X,1
0,3,m,24.0,9.5,S,X,1
0,3,m,48.0,7.8542,S,X,1
0,2,f,57.0,10.5,S,E,1
0,3,m,25.0,7.225,C,X,1
1,2,f,54.0,23.0,S,X,5
0,3,m,18.0,7.75,S,X,1
0,3,m,25.0,7.75,Q,F,1
1,3,f,5.0,12.475,S,X,1
0,3,m,25.0,7.7375,Q,X,1
1,1,f,43.0,211.3375,S,B,2
1,3,f,13.0,7.2292,C,X,1
1,1,f,17.0,57.0,S,B,2
0,1,m,29.0,30.0,S,D,1
0,3,m,25.0,23.45,S,X,4
0,3,m,25.0,7.05,S,X,1
0,3,m,25.0,7.25,S,X,1
1,3,f,18.0,7.4958,S,X,1
0,3,m,8.0,29.125,Q,X,6
1,3,m,1.0,20.575,S,X,4
0,1,m,46.0,79.2,C,B,1
0,3,m,25.0,7.75,Q,X,1
0,2,m,16.0,26.0,S,X,1
0,3,f,21.5,69.55,S,X,11
0,1,m,40.0,30.6958,C,X,1
0,3,m,25.0,7.8958,S,X,1
0,2,m,39.0,13.0,S,X,1
1,1,f,49.0,25.9292,S,D,1
1,3,f,31.0,8.6833,S,X,1
0,3,m,30.0,7.2292,C,X,1
0,3,f,30.0,24.15,S,X,3
0,2,m,34.0,13.0,S,X,1
1,2,f,31.0,26.25,S,X,3
1,1,m,11.0,120.0,S,B,4
1,3,m,0.42,8.5167,C,X,2
1,3,m,27.0,6.975,S,X,1
0,3,m,31.0,7.775,S,X,1
0,1,m,39.0,0.0,S,A,1
0,3,f,18.0,7.775,S,X,1
0,2,m,39.0,13.0,S,X,1
1,1,f,33.0,53.1,S,E,2
0,3,m,26.0,7.8875,S,X,1
0,3,m,39.0,24.15,S,X,1
0,2,m,35.0,10.5,S,X,1
0,3,f,6.0,31.275,S,X,7
0,3,m,30.5,8.05,S,X,1
0,1,m,40.0,0.0,S,B,1
0,3,f,23.0,7.925,S,X,1
0,2,m,31.0,37.0042,C,X,3
0,3,m,43.0,6.45,S,X,1
0,3,m,10.0,27.9,S,X,6
1,1,f,52.0,93.5,S,B,3
1,3,m,27.0,8.6625,S,X,1
0,1,m,38.0,0.0,S,X,1
1,3,f,27.0,12.475,S,E,2
0,3,m,2.0,39.6875,S,X,6
0,3,m,25.0,6.95,Q,X,1
0,3,m,25.0,56.4958,S,X,1
1,2,m,1.0,37.0042,C,X,3
1,3,m,25.0,7.75,Q,X,1
1,1,f,62.0,80.0,S,B,1
1,3,f,15.0,14.4542,C,X,2
1,2,m,0.83,18.75,S,X,3
0,3,m,25.0,7.2292,C,X,1
0,3,m,23.0,7.8542,S,X,1
0,3,m,18.0,8.3,S,X,1
1,1,f,39.0,83.1583,C,E,3
0,3,m,21.0,8.6625,S,X,1
0,3,m,25.0,8.05,S,X,1
1,3,m,32.0,56.4958,S,X,1
1,1,m,40.0,29.7,C,C,1
0,3,m,20.0,7.925,S,X,1
0,2,m,16.0,10.5,S,X,1
1,1,f,30.0,31.0,C,X,1
0,3,m,34.5,6.4375,C,X,1
0,3,m,17.0,8.6625,S,X,1
0,3,m,42.0,7.55,S,X,1
0,3,m,25.0,69.55,S,X,11
0,3,m,35.0,7.8958,C,X,1
0,2,m,28.0,33.0,S,X,2
1,1,f,35.0,89.1042,C,C,2
0,3,m,4.0,31.275,S,X,7
0,3,m,74.0,7.775,S,X,1
0,3,f,9.0,15.2458,C,X,3
1,1,f,16.0,39.4,S,D,2
0,2,f,44.0,26.0,S,X,2
1,3,f,18.0,9.35,S,X,2
1,1,f,45.0,164.8667,S,X,3
1,1,m,51.0,26.55,S,E,1
1,3,f,24.0,19.2583,C,X,4
0,3,m,25.0,7.2292,C,X,1
0,3,m,41.0,14.1083,S,X,3
0,2,m,21.0,11.5,S,X,2
1,1,f,48.0,25.9292,S,D,1
0,3,f,21.5,69.55,S,X,11
0,2,m,24.0,13.0,S,X,1
1,2,f,42.0,13.0,S,X,1
1,2,f,27.0,13.8583,C,X,2
0,1,m,31.0,50.4958,S,A,1
0,3,m,25.0,9.5,S,X,1
1,3,m,4.0,11.1333,S,X,3
0,3,m,26.0,7.8958,S,X,1
1,1,f,47.0,52.5542,S,D,3
0,1,m,33.0,5.0,S,B,1
0,3,m,47.0,9.0,S,X,1
1,2,f,28.0,24.0,C,X,2
1,3,f,15.0,7.225,C,X,1
0,3,m,20.0,9.8458,S,X,1
0,3,m,19.0,7.8958,S,X,1
0,3,m,25.0,7.8958,S,X,1
1,1,f,56.0,83.1583,C,C,2
1,2,f,25.0,26.0,S,X,2
0,3,m,33.0,7.8958,S,X,1
0,3,f,22.0,10.5167,S,X,1
0,2,m,28.0,10.5,S,X,1
0,3,m,25.0,7.05,S,X,1
0,3,f,39.0,29.125,Q,X,6
0,2,m,27.0,13.0,S,X,1
1,1,f,19.0,30.0,S,B,1
0,3,f,21.5,23.45,S,X,4
1,1,m,26.0,30.0,C,C,1
0,3,m,32.0,7.75,Q,X,1
